WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
3.427025812526552251e+00 3.438030476125406576e+00 3.434362254925788616e+00 1.736344228669083023e+01 1.000000000000000000e+00
3.438030476125406576e+00 3.449035139724260901e+00 3.441698697325024536e+00 1.732868124837144919e+01 1.000000000000000000e+00
3.449035139724260901e+00 3.463708024522733631e+00 3.456371582123497266e+00 1.741072969479900223e+01 1.000000000000000000e+00
3.463708024522733631e+00 3.474712688121587512e+00 3.471044466921969551e+00 1.752640314101964591e+01 1.000000000000000000e+00
3.474712688121587512e+00 3.485717351720442281e+00 3.478380909321205916e+00 1.764371579246468258e+01 1.000000000000000000e+00
3.485717351720442281e+00 3.496722015319296606e+00 3.493053794119678646e+00 1.775130003141557467e+01 1.000000000000000000e+00
3.496722015319296606e+00 3.507726678918150931e+00 3.500390236518914566e+00 1.787361933001443504e+01 1.000000000000000000e+00
3.507726678918150931e+00 3.522399563716623661e+00 3.515063121317387296e+00 1.801202613855575407e+01 1.000000000000000000e+00
3.522399563716623661e+00 3.533404227315477542e+00 3.529736006115859581e+00 1.813123472626667620e+01 1.000000000000000000e+00
3.533404227315477542e+00 3.544408890914332311e+00 3.537072448515095946e+00 1.824131372268761808e+01 1.000000000000000000e+00
3.544408890914332311e+00 3.555413554513186636e+00 3.551745333313568675e+00 1.836295795957139276e+01 1.000000000000000000e+00
3.555413554513186636e+00 3.566418218112040961e+00 3.559081775712804596e+00 1.853460348476724917e+01 1.000000000000000000e+00
3.566418218112040961e+00 3.577422881710895286e+00 3.573754660511277326e+00 1.870386302961593117e+01 1.000000000000000000e+00
3.577422881710895286e+00 3.588427545309749611e+00 3.581091102910513246e+00 1.882489618029407552e+01 1.000000000000000000e+00
3.588427545309749611e+00 3.599432208908604380e+00 3.595763987708985976e+00 1.890782949953571190e+01 1.000000000000000000e+00
3.599432208908604380e+00 3.610436872507458261e+00 3.603100430108222341e+00 1.899366100060911933e+01 1.000000000000000000e+00
3.610436872507458261e+00 3.621441536106313031e+00 3.617773314906694626e+00 1.911874314080307968e+01 1.000000000000000000e+00
3.621441536106313031e+00 3.632446199705166912e+00 3.625109757305930991e+00 1.924708878557046887e+01 1.000000000000000000e+00
3.632446199705166912e+00 3.643450863304021681e+00 3.639782642104403276e+00 1.937099838354966863e+01 1.000000000000000000e+00
3.643450863304021681e+00 3.654455526902876006e+00 3.647119084503639641e+00 1.948629568647644916e+01 1.000000000000000000e+00
3.654455526902876006e+00 3.665460190501730331e+00 3.661791969302112371e+00 1.960407990876481676e+01 1.000000000000000000e+00
3.665460190501730331e+00 3.676464854100585100e+00 3.669128411701348735e+00 1.973058663282008851e+01 1.000000000000000000e+00
3.676464854100585100e+00 3.687469517699438981e+00 3.683801296499821021e+00 1.986234859309815448e+01 1.000000000000000000e+00
3.687469517699438981e+00 3.698474181298293750e+00 3.691137738899057386e+00 1.999766112986950262e+01 1.000000000000000000e+00
3.698474181298293750e+00 3.709478844897147631e+00 3.705810623697529671e+00 2.013532594851364266e+01 1.000000000000000000e+00
3.709478844897147631e+00 3.720483508496002401e+00 3.713147066096766036e+00 2.028236924876601677e+01 1.000000000000000000e+00
3.720483508496002401e+00 3.731488172094856726e+00 3.727819950895238765e+00 2.042884486250828147e+01 1.000000000000000000e+00
3.731488172094856726e+00 3.742492835693711051e+00 3.735156393294474686e+00 2.056904187869391976e+01 1.000000000000000000e+00
3.742492835693711051e+00 3.753497499292565376e+00 3.749829278092947416e+00 2.069138621855015359e+01 1.000000000000000000e+00
3.753497499292565376e+00 3.764502162891419701e+00 3.757165720492183336e+00 2.081558121526205696e+01 1.000000000000000000e+00
3.764502162891419701e+00 3.775506826490274470e+00 3.771838605290656066e+00 2.094602887796078505e+01 1.000000000000000000e+00
3.775506826490274470e+00 3.786511490089128351e+00 3.779175047689892430e+00 2.108332126304622633e+01 1.000000000000000000e+00
3.786511490089128351e+00 3.797516153687983120e+00 3.793847932488364716e+00 2.121762126563381656e+01 1.000000000000000000e+00
3.797516153687983120e+00 3.808520817286837001e+00 3.801184374887601081e+00 2.135603794773292563e+01 1.000000000000000000e+00
3.808520817286837001e+00 3.819525480885691771e+00 3.815857259686073366e+00 2.149576349874183023e+01 1.000000000000000000e+00
